blade_length,wind_speed,turbine_stats,energy_output,motor_tempreture,blade_angle,vibration_level,humidity,air_pressure,category,anti_rust,efficiency
56.0,13.0,off,2431,32,39,0,40,1032,small,1.0,75.0
71.0,20.0,needs to be repaired,4602,41,16,10,67,902,medium,,87.0
60.0,20.0,optimal,1100,40,13,2,77,1044,small,0.0,30.0
64.0,9.0,off,3178,59,5,0,84,992,medium,,93.0
,7.0,needs to be repaired,2998,64,0,6,84,966,small,1.0,42.0
12.0,25.0,needs to be repaired,3677,45,8,5,70,1009,small,,37.0
60.0,17.0,optimal,4974,66,23,5,36,993,small,,48.0
16.0,12.0,off,3420,31,23,5,49,1073,large,1.0,30.0
30.0,21.0,off,4817,21,11,10,84,956,small,1.0,62.0
82.0,9.0,optimal,2744,75,44,4,77,1040,large,0.0,94.0
48.0,10.0,needs to be repaired,2031,54,45,4,25,1043,medium,1.0,49.0
27.0,6.0,needs to be repaired,1764,76,10,2,62,957,small,1.0,45.0
13.0,18.0,off,2660,70,41,3,37,943,small,1.0,38.0
98.0,8.0,off,368,36,35,8,33,1012,nan,1.0,28.0
69.0,7.0,needs to be repaired,4100,31,25,9,71,1078,medium,,4.0
23.0,13.0,optimal,4109,61,22,3,72,916,large,0.0,27.0
18.0,22.0,optimal,100,37,38,5,46,934,nan,,23.0
99.0,16.0,needs to be repaired,3903,25,32,10,84,1002,small,0.0,14.0
62.0,13.0,optimal,100,33,35,7,89,1075,large,0.0,92.0
11.0,22.0,off,5000,38,31,9,62,1088,large,0.0,69.0
93.0,17.0,needs to be repaired,4733,68,25,5,36,1072,small,0.0,67.0
69.0,18.0,optimal,3955,63,45,4,32,1018,large,0.0,78.0
80.0,14.0,optimal,4378,48,36,0,64,946,nan,0.0,95.0
53.0,7.0,off,1151,67,43,0,43,928,small,1.0,45.0
17.0,11.0,off,1285,26,23,3,25,996,medium,1.0,35.0
56.0,22.0,needs to be repaired,2737,78,22,7,49,1003,small,1.0,31.0
44.0,20.0,off,2162,50,29,1,65,973,large,1.0,96.0
87.0,21.0,off,1521,25,27,5,40,1060,small,1.0,75.0
90.0,10.0,needs to be repaired,3154,77,25,7,76,1064,large,,74.0
45.0,,optimal,890,55,34,5,53,998,nan,0.0,
59.0,23.0,off,4424,66,21,1,49,994,small,,84.0
13.0,7.0,needs to be repaired,2655,73,26,3,77,1079,medium,0.0,80.0
11.0,7.0,off,566,44,1,7,39,986,small,0.0,19.0
,22.0,off,2696,61,33,3,31,998,small,0.0,75.0
63.0,15.0,optimal,1715,40,10,6,89,920,large,,3.0
13.0,10.0,off,2724,35,22,0,73,933,large,1.0,55.0
63.0,23.0,off,611,24,3,8,63,1097,large,,41.0
72.0,,off,989,38,8,10,27,916,small,,74.0
27.0,17.0,optimal,4517,46,25,0,51,1061,medium,,60.0
99.0,9.0,off,2154,70,27,9,65,913,small,0.0,22.0
53.0,7.0,needs to be repaired,2477,54,32,8,54,964,large,0.0,19.0
43.0,23.0,needs to be repaired,1414,80,20,4,42,1017,small,1.0,
83.0,21.0,optimal,286,26,26,3,22,1033,small,1.0,56.0
71.0,7.0,optimal,2348,23,29,6,60,951,nan,1.0,28.0
23.0,19.0,optimal,288,49,1,3,85,1065,small,0.0,84.0
57.0,21.0,off,2578,59,26,4,42,1004,large,0.0,77.0
24.0,17.0,optimal,3422,47,20,10,22,1083,small,0.0,69.0
81.0,18.0,needs to be repaired,3497,75,14,7,61,1010,large,1.0,51.0
87.0,20.0,needs to be repaired,3221,80,6,0,37,1092,medium,0.0,91.0
96.0,15.0,off,2877,52,17,4,47,920,large,0.0,26.0
71.0,21.0,off,4580,35,1,3,75,1078,medium,,89.0
49.0,9.0,off,3800,70,31,10,64,1062,small,1.0,25.0
94.0,25.0,off,3585,46,28,3,48,988,small,,85.0
89.0,19.0,needs to be repaired,2170,77,23,1,67,1059,medium,1.0,
91.0,,needs to be repaired,3019,33,4,8,48,988,large,0.0,82.0
62.0,20.0,optimal,3336,72,17,3,89,1082,large,,13.0
33.0,18.0,off,3791,37,18,7,78,1008,medium,,
35.0,,needs to be repaired,1118,61,23,0,26,940,medium,,50.0
98.0,17.0,needs to be repaired,2187,78,16,0,69,953,small,1.0,2.0
69.0,5.0,optimal,558,37,3,7,63,1030,medium,,18.0
50.0,10.0,needs to be repaired,968,41,36,8,89,1057,medium,1.0,9.0
38.0,15.0,needs to be repaired,1692,59,40,1,30,1037,large,0.0,4.0
24.0,15.0,off,930,23,17,9,30,936,small,0.0,38.0
54.0,20.0,optimal,2992,39,39,3,20,961,large,1.0,94.0
74.0,7.0,off,1028,63,26,3,72,1010,nan,1.0,8.0
98.0,21.0,off,1199,35,40,7,81,1090,large,1.0,39.0
80.0,18.0,optimal,2110,50,39,2,59,1075,medium,1.0,29.0
18.0,6.0,optimal,817,79,33,6,74,979,medium,0.0,10.0
97.0,13.0,off,1136,27,42,4,65,991,medium,,10.0
10.0,12.0,off,3688,31,1,0,52,940,small,0.0,13.0
17.0,15.0,off,4034,39,16,3,51,913,large,0.0,9.0
97.0,11.0,off,3344,61,33,9,20,1011,medium,1.0,16.0
72.0,6.0,optimal,4902,34,3,8,58,1030,small,0.0,45.0
20.0,8.0,needs to be repaired,4319,57,4,4,32,1100,small,0.0,62.0
90.0,18.0,optimal,3124,47,11,6,72,965,large,,32.0
17.0,17.0,needs to be repaired,2677,70,44,2,29,972,nan,0.0,44.0
44.0,17.0,optimal,559,36,17,7,41,938,large,1.0,67.0
44.0,17.0,off,2178,35,36,6,43,995,nan,1.0,83.0
42.0,9.0,needs to be repaired,3375,74,45,2,42,979,medium,,55.0
14.0,16.0,optimal,4025,27,31,4,37,1021,large,1.0,67.0
50.0,10.0,optimal,3631,31,16,9,82,1063,small,1.0,66.0
37.0,,optimal,1703,40,36,7,34,1005,large,0.0,66.0
16.0,12.0,off,4062,49,20,3,30,1086,large,0.0,96.0
82.0,12.0,optimal,2314,43,25,3,63,1086,large,0.0,67.0
81.0,11.0,optimal,4038,69,33,9,63,993,nan,1.0,24.0
21.0,21.0,off,918,55,36,9,46,1073,small,0.0,30.0
43.0,25.0,needs to be repaired,2212,60,37,9,40,1037,small,0.0,86.0
42.0,15.0,needs to be repaired,4832,52,22,9,51,1046,large,,74.0
57.0,14.0,off,3660,63,4,5,35,921,medium,,43.0
32.0,17.0,needs to be repaired,596,78,40,6,88,974,small,1.0,67.0
71.0,14.0,optimal,2852,70,38,2,73,975,medium,0.0,39.0
97.0,25.0,optimal,4425,31,12,6,42,1002,small,1.0,44.0
46.0,18.0,needs to be repaired,2255,72,22,9,26,1006,medium,1.0,38.0
53.0,13.0,needs to be repaired,1625,75,28,0,36,926,small,1.0,79.0
95.0,11.0,needs to be repaired,3933,45,22,6,53,977,large,1.0,33.0
100.0,11.0,off,4904,23,43,2,79,916,large,,31.0
44.0,22.0,needs to be repaired,728,38,37,6,44,1070,medium,0.0,92.0
74.0,20.0,off,513,62,17,2,37,940,small,0.0,77.0
56.0,12.0,needs to be repaired,2998,64,30,5,75,1045,small,1.0,75.0
87.0,20.0,off,858,57,7,0,70,927,small,0.0,28.0
12.0,23.0,off,4380,46,39,6,43,998,small,1.0,
10.0,19.0,optimal,2020,59,15,3,78,1083,medium,0.0,84.0
14.0,19.0,needs to be repaired,4914,21,34,4,69,1038,large,0.0,10.0
99.0,10.0,optimal,3324,24,25,10,62,1039,small,0.0,49.0
23.0,13.0,optimal,3317,34,34,9,46,1033,medium,,30.0
36.0,19.0,off,1065,76,4,3,79,1075,medium,0.0,
18.0,11.0,off,3897,67,23,6,60,900,small,1.0,35.0
88.0,12.0,off,2163,56,39,7,45,1049,small,0.0,96.0
24.0,22.0,off,2908,57,18,7,20,957,large,1.0,75.0
99.0,25.0,optimal,3327,54,17,6,30,1067,nan,1.0,55.0
51.0,20.0,off,1278,35,32,2,80,1040,large,,33.0
86.0,19.0,optimal,3796,28,5,6,90,1022,large,1.0,75.0
60.0,7.0,optimal,2450,41,32,4,30,1068,medium,0.0,
72.0,5.0,needs to be repaired,2498,46,24,1,65,931,large,1.0,79.0
61.0,17.0,needs to be repaired,4141,31,17,3,80,1094,large,0.0,85.0
13.0,16.0,off,2080,70,41,7,75,1061,large,1.0,29.0
32.0,13.0,optimal,1353,24,8,6,52,993,small,0.0,
24.0,6.0,optimal,1878,58,30,3,61,999,medium,0.0,37.0
52.0,13.0,optimal,712,43,43,7,23,930,nan,0.0,85.0
38.0,12.0,needs to be repaired,4152,53,25,3,20,1093,large,1.0,4.0
45.0,,optimal,4855,33,5,6,46,1080,medium,1.0,83.0
22.0,17.0,optimal,4925,70,25,4,52,989,medium,1.0,57.0
41.0,6.0,optimal,1539,40,39,1,31,1065,large,,90.0
80.0,14.0,needs to be repaired,4693,25,40,1,66,1017,small,0.0,18.0
68.0,10.0,off,914,67,12,10,71,908,nan,0.0,99.0
95.0,11.0,off,506,58,23,6,25,1094,medium,0.0,58.0
37.0,7.0,off,4039,39,42,5,23,1029,small,0.0,65.0
75.0,18.0,needs to be repaired,586,41,15,0,55,933,large,0.0,64.0
51.0,20.0,needs to be repaired,4471,55,33,8,87,1077,medium,1.0,15.0
54.0,10.0,off,2348,59,31,8,55,923,small,1.0,96.0
71.0,12.0,off,3620,77,6,6,89,959,small,0.0,16.0
66.0,5.0,needs to be repaired,4080,53,0,9,52,1056,small,1.0,79.0
15.0,24.0,off,394,53,13,8,32,984,small,1.0,72.0
37.0,19.0,optimal,2467,51,2,10,32,1026,medium,0.0,3.0
37.0,21.0,needs to be repaired,3854,78,7,10,27,979,small,0.0,1.0
53.0,22.0,off,1328,23,45,8,54,970,large,0.0,28.0
93.0,7.0,off,4738,48,2,7,62,921,large,0.0,44.0
39.0,10.0,needs to be repaired,2441,66,7,3,32,1093,large,1.0,22.0
,21.0,needs to be repaired,3096,37,5,1,53,1038,large,0.0,66.0
84.0,17.0,optimal,2153,60,30,1,87,901,large,0.0,39.0
98.0,21.0,needs to be repaired,1160,40,33,8,85,1025,small,0.0,12.0
71.0,25.0,needs to be repaired,2513,76,39,10,39,982,nan,0.0,26.0
10.0,20.0,optimal,2852,41,18,8,64,1012,medium,,59.0
36.0,21.0,off,4247,27,35,7,87,1046,small,1.0,92.0
71.0,5.0,needs to be repaired,1433,42,41,1,51,932,nan,1.0,76.0
86.0,20.0,off,409,31,12,10,77,1042,small,0.0,69.0
,10.0,optimal,173,77,45,2,60,1019,small,0.0,59.0
79.0,12.0,needs to be repaired,3463,36,37,8,72,1054,large,1.0,59.0
81.0,5.0,optimal,3132,80,1,6,31,1062,small,0.0,45.0
36.0,6.0,off,2823,55,44,5,35,1086,small,0.0,41.0
18.0,19.0,optimal,3175,79,39,8,60,1067,small,1.0,89.0
71.0,9.0,needs to be repaired,2453,79,31,2,75,960,medium,1.0,78.0
46.0,24.0,needs to be repaired,5000,58,16,1,32,1003,medium,1.0,47.0
60.0,19.0,off,4906,48,9,10,40,1005,medium,0.0,58.0
53.0,25.0,off,3426,63,10,2,26,1095,small,0.0,38.0
33.0,14.0,off,3595,47,33,4,39,900,small,1.0,32.0
88.0,9.0,off,4814,28,41,6,51,917,large,0.0,
68.0,7.0,needs to be repaired,1380,79,26,10,24,964,large,,7.0
41.0,10.0,needs to be repaired,1911,37,4,5,73,931,large,,46.0
97.0,25.0,needs to be repaired,4078,36,19,7,57,1023,small,1.0,44.0
61.0,19.0,optimal,3218,37,11,9,83,1033,medium,0.0,53.0
71.0,22.0,optimal,4597,33,16,2,77,967,medium,1.0,
67.0,18.0,off,786,63,16,2,85,991,medium,1.0,39.0
61.0,14.0,off,2508,51,33,9,68,945,small,1.0,69.0
21.0,8.0,off,3023,60,41,2,67,1031,small,0.0,97.0
48.0,15.0,needs to be repaired,3155,37,5,10,56,902,medium,0.0,69.0
11.0,24.0,optimal,3260,32,15,0,84,927,small,0.0,80.0
12.0,11.0,off,2231,48,25,4,25,943,large,1.0,47.0
65.0,19.0,off,2080,76,7,0,81,940,large,0.0,51.0
90.0,13.0,needs to be repaired,2683,58,37,10,30,1094,small,1.0,73.0
68.0,19.0,optimal,996,45,37,8,74,934,large,,82.0
11.0,16.0,off,4276,41,8,6,27,928,small,1.0,66.0
11.0,22.0,off,451,50,32,7,77,1048,small,1.0,45.0
63.0,10.0,off,4768,20,29,1,47,1072,large,0.0,13.0
96.0,22.0,off,741,35,45,0,68,1063,medium,0.0,59.0
10.0,22.0,optimal,3227,44,44,9,84,1038,large,,46.0
28.0,10.0,optimal,1130,31,45,1,31,934,large,1.0,11.0
11.0,19.0,off,3729,60,20,7,46,1076,small,,94.0
62.0,23.0,needs to be repaired,2629,31,19,7,85,933,small,0.0,47.0
53.0,9.0,off,4223,65,13,5,67,1069,large,1.0,
99.0,,needs to be repaired,2716,63,0,6,38,920,medium,1.0,18.0
41.0,21.0,off,764,50,35,8,80,1016,large,0.0,99.0
79.0,25.0,off,4236,30,23,1,86,1081,medium,1.0,13.0
41.0,14.0,needs to be repaired,466,20,26,9,64,1008,large,0.0,80.0
77.0,16.0,off,571,25,17,5,29,1099,medium,0.0,1.0
64.0,9.0,optimal,2742,24,38,3,81,946,large,1.0,2.0
84.0,11.0,needs to be repaired,3515,38,38,4,82,935,small,1.0,71.0
65.0,16.0,optimal,5000,75,26,8,60,1074,large,,54.0
26.0,6.0,needs to be repaired,1613,66,43,9,28,1029,large,1.0,4.0
47.0,24.0,optimal,694,51,16,0,72,915,large,0.0,87.0
33.0,21.0,off,1381,24,39,7,55,1002,small,1.0,97.0
78.0,17.0,off,3209,30,2,6,44,921,nan,,96.0
79.0,9.0,needs to be repaired,4880,63,20,3,32,1010,large,1.0,74.0
95.0,9.0,optimal,3422,48,3,1,20,1085,small,0.0,60.0
20.0,24.0,off,794,26,13,3,26,1013,medium,0.0,41.0
25.0,16.0,optimal,2347,61,42,5,28,972,medium,0.0,45.0
82.0,,optimal,1295,46,15,8,51,990,large,1.0,48.0
68.0,11.0,needs to be repaired,2578,47,44,9,80,1085,nan,,13.0
79.0,10.0,off,867,39,18,2,48,1047,small,1.0,19.0
89.0,14.0,needs to be repaired,3235,76,27,2,30,951,medium,0.0,15.0
12.0,23.0,needs to be repaired,627,33,18,8,68,950,medium,,8.0
29.0,20.0,off,3903,63,42,2,35,958,medium,1.0,65.0
68.0,6.0,optimal,4727,61,37,1,66,1078,small,0.0,20.0
45.0,8.0,needs to be repaired,1544,51,22,6,76,1019,medium,1.0,65.0
28.0,,off,3865,36,32,3,57,940,small,0.0,97.0
99.0,9.0,optimal,468,64,12,5,72,982,medium,1.0,82.0
76.0,5.0,optimal,3580,47,11,3,41,921,medium,,29.0
28.0,15.0,optimal,693,43,7,0,28,1089,medium,1.0,37.0
29.0,23.0,needs to be repaired,1288,30,45,0,78,981,medium,1.0,54.0
80.0,7.0,needs to be repaired,185,65,25,7,27,968,small,1.0,84.0
61.0,5.0,off,1140,48,8,8,62,992,small,,22.0
42.0,8.0,optimal,697,44,40,5,39,1100,nan,1.0,82.0
49.0,13.0,optimal,4185,42,39,10,55,1019,small,1.0,31.0
48.0,20.0,off,2623,78,27,5,78,909,large,,83.0
91.0,11.0,optimal,345,65,34,7,62,966,large,1.0,99.0
10.0,9.0,optimal,546,32,28,10,31,984,large,,4.0
20.0,17.0,off,2382,73,32,2,38,945,nan,0.0,5.0
66.0,15.0,off,4489,41,13,1,21,1025,medium,0.0,75.0
98.0,18.0,needs to be repaired,925,50,14,6,38,1054,small,0.0,58.0
59.0,21.0,needs to be repaired,2462,25,18,2,77,1096,small,0.0,11.0
32.0,16.0,needs to be repaired,2815,52,32,0,28,944,large,0.0,21.0
40.0,25.0,off,186,51,7,0,23,1036,large,0.0,32.0
,25.0,needs to be repaired,230,35,33,2,84,1030,large,1.0,27.0
16.0,25.0,optimal,1032,79,26,0,52,1052,large,1.0,35.0
25.0,23.0,needs to be repaired,4836,44,42,1,64,938,small,1.0,8.0
99.0,9.0,needs to be repaired,1727,54,45,9,39,1025,small,0.0,1.0
69.0,12.0,needs to be repaired,3632,54,29,1,47,1036,nan,0.0,8.0
11.0,6.0,off,4287,36,45,3,77,1074,medium,1.0,17.0
10.0,21.0,optimal,1373,38,23,2,90,930,small,0.0,23.0
57.0,6.0,off,4406,22,31,6,54,990,small,,64.0
21.0,7.0,optimal,2516,45,35,8,90,1062,medium,,72.0
78.0,,needs to be repaired,4614,38,36,0,73,1060,small,0.0,57.0
46.0,22.0,needs to be repaired,519,59,2,9,59,958,small,0.0,61.0
41.0,19.0,optimal,3492,50,36,3,20,927,small,1.0,96.0
18.0,9.0,off,1468,79,45,5,59,1077,medium,0.0,32.0
28.0,21.0,off,3758,68,39,0,39,1042,large,0.0,64.0
57.0,18.0,needs to be repaired,1351,74,0,8,51,1002,large,0.0,59.0
89.0,5.0,optimal,1722,35,2,2,73,1012,small,0.0,10.0
12.0,18.0,optimal,210,63,26,7,68,1067,small,0.0,67.0
,13.0,optimal,898,61,31,5,83,934,small,1.0,51.0
33.0,9.0,optimal,1906,34,31,4,43,1094,large,0.0,59.0
63.0,8.0,needs to be repaired,2382,66,16,10,88,915,medium,,53.0
42.0,5.0,off,1460,52,42,7,23,1011,large,0.0,46.0
33.0,7.0,needs to be repaired,3592,60,44,5,35,1083,medium,0.0,81.0
84.0,24.0,optimal,1445,41,34,6,33,935,small,,65.0
81.0,15.0,off,3482,67,31,5,43,952,small,1.0,15.0
45.0,20.0,needs to be repaired,2658,32,17,5,37,958,large,1.0,19.0
47.0,15.0,optimal,4116,53,35,8,54,1089,small,0.0,74.0
93.0,25.0,needs to be repaired,3491,71,27,0,70,1008,large,1.0,54.0
98.0,14.0,optimal,1686,34,38,10,69,976,nan,0.0,37.0
34.0,16.0,needs to be repaired,2848,78,39,5,50,948,small,1.0,
27.0,9.0,needs to be repaired,3614,75,35,10,43,1093,medium,0.0,23.0
91.0,,needs to be repaired,3827,31,6,10,51,986,small,1.0,45.0
75.0,17.0,optimal,3045,76,31,4,66,944,large,,10.0
63.0,23.0,off,4328,39,10,1,38,1021,small,1.0,21.0
44.0,11.0,off,383,64,27,2,64,902,medium,0.0,0.0
89.0,20.0,optimal,3005,67,25,7,49,1050,small,1.0,74.0
,10.0,off,428,66,43,0,79,979,nan,,2.0
50.0,14.0,off,2533,64,13,0,42,914,small,1.0,82.0
42.0,14.0,needs to be repaired,1163,44,24,1,46,990,large,0.0,
77.0,,needs to be repaired,5000,51,22,9,76,1069,nan,,3.0
42.0,,optimal,1846,30,14,9,30,930,large,1.0,71.0
23.0,18.0,optimal,1785,73,30,8,58,1015,small,1.0,67.0
30.0,19.0,needs to be repaired,1556,42,29,2,85,1008,small,1.0,63.0
57.0,11.0,optimal,4826,54,28,0,50,989,large,0.0,22.0
,,optimal,100,53,28,10,70,1024,small,0.0,93.0
17.0,15.0,off,4351,70,43,5,72,947,nan,0.0,0.0
16.0,11.0,optimal,1770,52,10,3,59,916,small,1.0,2.0
76.0,15.0,optimal,1260,76,18,5,36,1075,nan,0.0,96.0
26.0,,needs to be repaired,3960,48,34,9,76,1055,large,,45.0
42.0,21.0,optimal,2119,47,18,3,57,1061,small,1.0,20.0
57.0,20.0,needs to be repaired,1974,32,12,1,77,913,small,1.0,46.0
,5.0,optimal,2185,56,24,0,22,1086,medium,0.0,40.0
68.0,13.0,off,2493,61,38,1,74,1022,medium,1.0,22.0
95.0,13.0,needs to be repaired,3467,55,9,0,80,925,small,0.0,62.0
31.0,14.0,optimal,1984,63,7,0,72,1085,medium,,0.0
,23.0,optimal,505,68,6,2,88,1077,medium,,14.0
47.0,19.0,off,4111,39,23,6,83,939,small,0.0,23.0
60.0,20.0,optimal,821,79,41,6,90,966,small,0.0,35.0
63.0,15.0,off,2749,62,36,7,26,922,medium,1.0,70.0
17.0,21.0,needs to be repaired,493,63,29,0,70,905,small,0.0,39.0
36.0,23.0,needs to be repaired,2352,46,17,10,76,1073,medium,1.0,86.0
36.0,17.0,optimal,758,67,9,7,89,948,large,0.0,55.0
30.0,10.0,needs to be repaired,4619,56,4,4,47,908,large,,86.0
39.0,19.0,off,952,55,35,2,49,1079,small,,69.0
37.0,20.0,off,1659,79,38,6,38,963,large,1.0,70.0
73.0,8.0,optimal,3841,20,28,6,51,1006,large,,84.0
78.0,12.0,off,2662,29,8,0,56,950,small,0.0,9.0
70.0,11.0,off,758,20,35,3,42,936,small,0.0,79.0
57.0,21.0,off,286,59,32,0,41,1028,medium,0.0,32.0
28.0,20.0,optimal,930,69,31,7,47,1078,small,1.0,45.0
13.0,6.0,needs to be repaired,1720,76,9,3,54,984,large,0.0,86.0
44.0,21.0,off,2795,40,17,5,43,979,small,,
73.0,,needs to be repaired,3855,73,16,10,78,1057,medium,0.0,15.0
58.0,18.0,needs to be repaired,3326,40,9,4,46,1007,large,1.0,24.0
26.0,12.0,optimal,2534,47,1,2,53,938,medium,,14.0
53.0,9.0,optimal,2525,62,13,10,40,930,large,0.0,96.0
39.0,9.0,needs to be repaired,100,20,20,8,25,1060,small,,
55.0,9.0,optimal,2205,26,45,1,30,941,small,1.0,86.0
15.0,9.0,needs to be repaired,1533,64,32,8,23,907,nan,,86.0
46.0,7.0,off,3506,29,4,9,32,1015,small,1.0,73.0
33.0,10.0,needs to be repaired,1195,37,45,9,77,911,medium,,36.0
55.0,5.0,needs to be repaired,5000,77,33,7,45,926,large,0.0,20.0
62.0,12.0,off,3574,79,10,9,61,992,large,1.0,36.0
69.0,17.0,optimal,3364,32,12,2,75,1084,large,0.0,3.0
72.0,24.0,needs to be repaired,3821,62,28,9,60,929,small,,98.0
94.0,10.0,optimal,1952,46,10,5,42,1071,nan,,22.0
41.0,22.0,off,1568,42,37,10,52,1045,medium,1.0,30.0
96.0,22.0,needs to be repaired,1458,48,7,2,87,1058,medium,0.0,52.0
42.0,20.0,needs to be repaired,3655,33,32,4,78,1004,small,0.0,
76.0,12.0,needs to be repaired,2922,32,45,4,40,938,small,,100.0
27.0,21.0,needs to be repaired,4421,41,31,6,67,1022,medium,1.0,66.0
34.0,12.0,optimal,2151,31,5,6,21,1040,medium,1.0,87.0
63.0,19.0,optimal,2675,20,1,4,39,1065,small,,26.0
67.0,14.0,off,2222,69,28,0,36,955,large,,26.0
76.0,5.0,optimal,658,42,40,6,87,1037,nan,,85.0
55.0,13.0,needs to be repaired,1557,67,34,6,42,1065,small,1.0,31.0
33.0,,off,160,79,31,5,50,990,medium,0.0,89.0
41.0,24.0,needs to be repaired,3492,56,21,1,89,917,medium,0.0,64.0
56.0,,needs to be repaired,4350,51,3,0,59,945,large,1.0,25.0
95.0,13.0,off,3347,56,39,4,38,1037,medium,1.0,92.0
32.0,18.0,needs to be repaired,234,79,33,6,41,968,small,,48.0
75.0,,needs to be repaired,2205,38,25,1,70,1037,small,1.0,90.0
36.0,10.0,off,502,66,33,2,67,998,large,0.0,14.0
11.0,9.0,optimal,819,44,45,9,70,997,medium,1.0,12.0
99.0,8.0,off,4982,63,44,10,45,978,small,0.0,8.0
26.0,20.0,off,3803,24,4,5,70,950,medium,,95.0
42.0,20.0,off,1503,31,34,7,67,930,large,1.0,68.0
,14.0,optimal,2842,64,38,5,23,980,large,1.0,
52.0,18.0,off,1001,52,35,4,74,1094,large,1.0,79.0
57.0,17.0,optimal,3674,30,14,0,84,1076,large,1.0,86.0
48.0,8.0,needs to be repaired,4430,80,36,3,52,997,large,1.0,40.0
51.0,18.0,off,2322,69,10,2,83,1000,small,1.0,90.0
35.0,13.0,needs to be repaired,2394,56,43,0,48,922,large,0.0,58.0
59.0,7.0,needs to be repaired,1185,33,18,1,51,1097,small,1.0,45.0
34.0,14.0,optimal,4332,37,40,0,36,972,medium,1.0,84.0
33.0,19.0,needs to be repaired,1588,43,10,7,21,1092,small,,64.0
22.0,23.0,needs to be repaired,2122,60,30,8,47,943,small,0.0,75.0
69.0,6.0,off,4253,72,1,1,64,991,large,0.0,24.0
,6.0,needs to be repaired,693,43,24,3,53,948,nan,1.0,86.0
66.0,13.0,off,1432,24,30,9,75,1085,medium,0.0,62.0
45.0,8.0,needs to be repaired,645,55,36,10,24,1049,large,1.0,99.0
54.0,9.0,optimal,4029,43,8,2,54,1042,medium,1.0,65.0
29.0,6.0,needs to be repaired,1960,22,9,6,42,1096,large,1.0,38.0
74.0,11.0,optimal,4284,75,45,4,55,974,small,1.0,
17.0,23.0,off,657,22,0,6,72,948,small,,7.0
25.0,10.0,off,3861,37,20,6,65,1075,medium,0.0,42.0
23.0,20.0,needs to be repaired,2680,80,30,1,20,1001,large,,66.0
85.0,18.0,needs to be repaired,1645,37,21,7,84,1090,small,0.0,96.0
96.0,,off,3805,69,39,5,27,1048,medium,0.0,93.0
,10.0,off,4462,38,0,8,82,1014,large,1.0,90.0
75.0,17.0,off,3988,21,39,7,47,1053,large,0.0,98.0
41.0,19.0,optimal,799,79,27,6,43,1089,large,,33.0
96.0,18.0,needs to be repaired,2593,33,2,3,49,909,large,,70.0
72.0,12.0,off,313,49,15,6,41,981,large,1.0,
95.0,25.0,off,1914,25,7,3,84,1018,small,1.0,94.0
